Model,Count,Year,Type
Kia Niro Plug In,0,2015,PHEV
Mercedes GLC 350e Hybrid,0,2015,PHEV
Jaguar I-Pace,0,2015,EV
Hyundai Kona Electric,0,2015,EV
Subaru Crosstrek Hybrid,0,2015,PHEV
Audi e-tron,0,2015,EV
Kia Niro EV,0,2015,EV
Chevy Volt,24739,2016,PHEV
Nissan Leaf,14006,2016,EV
Smart ED,657,2016,EV
Mitsubishi I EV,94,2016,EV
BMW Active E,0,2016,EV
Prius PHEV,2474,2016,PHEV
Ford Focus EV,901,2016,EV
Honda Fit EV,0,2016,EV
Tesla Model S,30200,2016,EV
Toyota RAV4 EV,0,2016,EV
Ford C-Max Energi,7957,2016,PHEV
Honda Accord,0,2016,PHEV
Ford Fusion Energi,15938,2016,PHEV
Chevy Spark,3035,2016,EV
Fiat 500E,3737,2016,EV
Porsche Panamera S E-Hybrid,393,2016,PHEV
Cadillac ELR,534,2016,PHEV
BMW i3,7625,2016,EV
Mercedes B-Class (B250e),632,2016,EV
BMW i8,1594,2016,PHEV
VW e-Golf,3937,2016,EV
Kia Soul EV,1728,2016,EV
Porsche Cayenne S E-Hybrid,2111,2016,PHEV
Mercedes S550 Plug,550,2016,PHEV
Volvo-XC90 Plug In,2015,2016,PHEV
Tesla Model X,19600,2016,EV
BMW X5,5995,2016,PHEV
Hyundai Sonata Plug In,3000,2016,PHEV
Audi A3 Plug In,4280,2016,PHEV
BMW 3-series Plug-In,880,2016,PHEV
Mercedes GLE 550e,231,2016,PHEV
BMW 7-series Plug-in,23,2016,PHEV
Mercedes C350We,171,2016,PHEV
Chevy Bolt,579,2016,EV
Kia Optima Plug-in,0,2016,PHEV
Hyundai Ioniq EV,0,2016,EV
Chrysler Pacifica Plug-in Hybrid,0,2016,PHEV
Cadillac CT6,0,2016,PHEV
BMW 5-Series Plug in,0,2016,PHEV
MINI Countryman S E,0,2016,PHEV
Porsche Panamera 4 E-H,0,2016,PHEV
Tesla Model 3,0,2016,EV
Honda Clarity BEV,0,2016,EV
Volvo XC60 Plug In,0,2016,PHEV
Volvo S90 Plug In,0,2016,PHEV
Honda Clarity Plug-in,0,2016,PHEV
Mitsubishi Outlander Plug In,0,2016,PHEV
Hyundai Ioniq Plug-In,0,2016,PHEV
Kia Niro Plug In,0,2016,PHEV
Mercedes GLC 350e Hybrid,0,2016,PHEV
Jaguar I-Pace,0,2016,EV
Hyundai Kona Electric,0,2016,EV
Subaru Crosstrek Hybrid,0,2016,PHEV
Audi e-tron,0,2016,EV
Kia Niro EV,0,2016,EV
Chevy Volt,20349,2017,PHEV
Nissan Leaf,11230,2017,EV
Smart ED,544,2017,EV
Mitsubishi I EV,6,2017,EV
BMW Active E,0,2017,EV
Prius PHEV,20936,2017,PHEV
Ford Focus EV,1817,2017,EV
Honda Fit EV,0,2017,EV
Tesla Model S,26500,2017,EV
Toyota RAV4 EV,0,2017,EV
Ford C-Max Energi,8140,2017,PHEV
Honda Accord,0,2017,PHEV
Ford Fusion Energi,9632,2017,PHEV
Chevy Spark,23,2017,EV
Fiat 500E,3336,2017,EV
Porsche Panamera S E-Hybrid,18,2017,PHEV
Cadillac ELR,17,2017,PHEV
BMW i3,6276,2017,EV
Mercedes B-Class (B250e),744,2017,EV
BMW i8,488,2017,PHEV
VW e-Golf,3534,2017,EV
Kia Soul EV,2157,2017,EV
Porsche Cayenne S E-Hybrid,1574,2017,PHEV
Mercedes S550 Plug,666,2017,PHEV
Volvo-XC90 Plug In,2358,2017,PHEV
Tesla Model X,21700,2017,EV
BMW X5,5349,2017,PHEV
Hyundai Sonata Plug In,2254,2017,PHEV
Audi A3 Plug In,2877,2017,PHEV
BMW 3-series Plug-In,4141,2017,PHEV
Mercedes GLE 550e,463,2017,PHEV
BMW 7-series Plug-in,707,2017,PHEV
Mercedes C350We,817,2017,PHEV
Chevy Bolt,23297,2017,EV
Kia Optima Plug-in,1512,2017,PHEV
Hyundai Ioniq EV,432,2017,EV
Chrysler Pacifica Plug-in Hybrid,2981,2017,PHEV
Cadillac CT6,205,2017,PHEV
BMW 5-Series Plug in,3759,2017,PHEV
MINI Countryman S E,475,2017,PHEV
Porsche Panamera 4 E-H,0,2017,PHEV
